Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Tertiary Education Services
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Other Capital
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Tertiary Education Services
Function: Special Needs Education,Donor Dev't,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"40,000",2015/16 Proposed Budget,Vote: 603,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"22,397",2015/16 Proposed Budget,Vote: 603,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"10,000",2015/16 Proposed Budget,Vote: 603,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"2,797",2015/16 Proposed Budget,Vote: 603,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Ngora District,District Government,"5,121",2015/16 Proposed Budget,Vote: 603,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Ngora District,District Government,"370,377",2015/16 Proposed Budget,Vote: 603,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Other Capital
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Ngora District,District Government,"704,146",2015/16 Proposed Budget,Vote: 603,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"421,632",2015/16 Proposed Budget,Vote: 603,Output: Tertiary Education Services
Function: Special Needs Education,Non Wage Rec't:,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"50,540",2015/16 Proposed Budget,Vote: 603,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"3,945,680",2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Other Capital
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"1,167,164",2015/16 Proposed Budget,Vote: 603,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Secondary Capitation(USE)(LLS)
Function: Skills Development,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,"370,593",2015/16 Proposed Budget,Vote: 603,Output: Tertiary Education Services
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Ngora District,District Government,0,2015/16 Proposed Budget,Vote: 603,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Ntoroko District,District Government,"34,834",2014/15 Approved Budget,Vote: 595,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"244,405",2014/15 Approved Budget,Vote: 595,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"12,840",2014/15 Approved Budget,Vote: 595,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"251,377",2014/15 Approved Budget,Vote: 595,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Secondary Capitation(USE)(LLS)
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,"90,000",2014/15 Approved Budget,Vote: 595,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,"8,976",2014/15 Approved Budget,Vote: 595,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,"40,000",2014/15 Approved Budget,Vote: 595,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Secondary Capitation(USE)(LLS)
Function: Special Needs Education,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,"36,800",2014/15 Approved Budget,Vote: 595,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"16,866",2014/15 Approved Budget,Vote: 595,Output: Education Management Services
